Theme,Theme,Максимум JaccardIndex,Main theme
Star Wars Episode 2,Star Wars Episode 2,0.22709923664122136,Ultimate Collector Series
Avatar,Star Wars Episode 1,0.22696245733788395,
Superman,Ninjago,0.22658959537572254,Super Heroes
Ultimate Collector Series,Star Wars Episode 4/5/6,0.22338830584707647,Star Wars
Prince of Persia,The LEGO Movie,0.22338568935427575,
The Return of the King,Batman,0.22315035799522673,The Lord of the Rings
Iron Man,Star Wars Episode 4/5/6,0.22189349112426035,Super Heroes
Star Wars Episode 4/5/6,Spider-Man,0.22131147540983606,Mini
The Return of the King,Ninjago,0.2193698949824971,The Lord of the Rings
Star Wars Episode 4/5/6,Star Wars Episode 3,0.21875,Mini
Star Wars,Star Wars Episode 3,0.2164750957854406,Advent Sub-Set
The Desolation of Smaug,Batman,0.2162485065710872,The Hobbit
Prince of Persia,Star Wars Episode 1,0.2158894645941278,
Ghostbusters,Star Wars Rebels,0.21505376344086022,
Sorcerer's Stone,Star Wars Episode 2,0.21503496503496503,Harry Potter
Avatar,Star Wars Clone Wars,0.21451104100946372,
Star Wars,Star Wars Episode 2,0.21428571428571427,Advent Sub-Set
Star Wars Episode 4/5/6,Star Wars Episode 2,0.21414913957934992,Mini
Star Wars Episode 3,Star Wars Episode 2,0.21348314606741572,Ultimate Collector Series
The Desolation of Smaug,Ninjago,0.21120186697782964,The Hobbit
Star Wars Episode 2,Star Wars Episode 1,0.20950704225352113,Ultimate Collector Series
The Fellowship of the Ring,Star Wars,0.20833333333333334,The Lord of the Rings
Sorcerer's Stone,Star Wars Episode 1,0.20751633986928106,Harry Potter
X-Men,Star Wars Episode 3,0.2071563088512241,Super Heroes
Iron Man,Star Wars,0.20675675675675675,Super Heroes
Star Wars,Star Wars Episode 1,0.2062937062937063,Advent Sub-Set
Ultimate Collector Series,Star Wars,0.2062841530054645,Star Wars
Star Wars Episode 4/5/6,Star Wars Episode 1,0.20603907637655416,Mini
Chamber of Secrets,Batman,0.20539906103286384,Harry Potter
Prisoner of Azkaban,Batman,0.20374707259953162,Harry Potter
Ghostbusters,Avengers,0.20362903225806453,
X-Men,Star Wars Episode 2,0.2029520295202952,Super Heroes
X-Men,Star Wars Episode 1,0.20207253886010362,Super Heroes
Goblet of Fire,Star Wars,0.20160213618157544,Harry Potter
Avatar,Star Wars Episode 4/5/6,0.20147058823529412,
Star Wars Episode 3,Star Wars Episode 1,0.2013888888888889,Ultimate Collector Series
X-Men,The LEGO Movie,0.20103986135181975,Super Heroes
Star Wars Episode 3,Spider-Man,0.20041322314049587,Mini
Prince of Persia,Star Wars Clone Wars,0.20031796502384738,
Disney,The Simpsons,0.2,Collectible Minifigures
